"Report Date","Time Scrapped","Part No","Part Type","Material","Serial No","Operation","Quantity","Weight","Scrap Reason","Workcenter","Location","Cavity Code","Coordinate","Unit Cost","Extended Cost","Note"
"3/17/2026","2:35 PM","9-050-010-503","MAG - BRACKETS",,"MLT8010663","Cell Assembly FG","2","6.65","M13-Mis-Load","AV T1XX BRKT 248","AV T1XX BRKT 248",,,"$35.02","$70.04",
"3/17/2026","2:35 PM","9-073-022-463","TRANSFER CASES",,"MLT8010614","Leak Test FG","1","6.52","D25-Leaker","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","2:36 PM","9-078-016-478","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8010449","Machining Pierce Part (Final)","9","81.99","D04-Crack","MA CX727 IP 253","MA CX727 IP 253","b",,"$48.81","$439.25",
"3/17/2026","2:39 PM","9-073-022-461","TRANSFER CASES",,"MLT8010666","Leak Test FG","3","31.80","D02-Incomplete Fill/Cold Shut/Cold Flow","LT-P702 Case 214","Zone 2",,,"$44.17","$132.51",
"3/17/2026","2:39 PM","9-039-020-496","STEERING COLUMN COMPONENTS",,"MLT8010669","Machining Pierce Part (Final)","18","4.82","M18-Hole Size Out of Spec","M Lower Brkt 496","M Lower Brkt 496",,,"$3.72","$67.00",
"3/17/2026","2:39 PM","9-032-010-147","MAG - BRACKETS",,"MLT8010670","Cell Assembly FG","1","4.50","M18-Hole Size Out of Spec","MA DRDX 204","MA DRDX 204",,,"$23.52","$23.52",
"3/17/2026","2:39 PM","9-078-016-478","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8010571","Machining Pierce Part (Final)","9","81.99","M01-Porosity","KIRA 05","MA CX727 IP 253",,,"$48.81","$439.25",
"3/17/2026","2:39 PM","9-176-022-423","TRANSFER CASES",,"MLT8010568","Leak Test FG","1","8.61","D35-Barcode Label","LT-CD6 Transit Case 215","Dock-SH-C32",,,"$47.19","$47.19",
"3/17/2026","2:40 PM","9-078-016-478W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT7997866","Safe Launch","4","37.60","D04-Crack","KIRA 05","KIRA 05","B",,"$42.04","$168.17","Needs to be sorted for through cracks in the radio bracket."
"3/17/2026","2:40 PM","9-073-022-460","TRANSFER CASES",,"MLT8010632","Leak Test FG","3","33.00","D25-Leaker","Leaktester Case 214","Zone 2",,,"$44.26","$132.79",
"3/17/2026","2:40 PM","9-073-022-460","TRANSFER CASES",,"MLT8010632","Leak Test FG","1","11.00","D04-Crack","Leaktester Case 214","Zone 2",,,"$44.26","$44.26",
"3/17/2026","2:40 PM","9-073-022-463","TRANSFER CASES",,"MLT8010614","Leak Test FG","1","6.52","D25-Leaker","LT-P702 Cover 214","Zone 2",,,"$32.69","$32.69",
"3/17/2026","2:40 PM","9-034-010-426","MAG - BRACKETS",,"MLT8010674","Cell Assembly FG","16","2.32","O14-Incomplete Operation","MA JL Tunnel Brkt - 426","MA JL Tunnel Brkt - 426",,,"$3.62","$57.85",
"3/17/2026","2:40 PM","9-073-022-460","TRANSFER CASES",,"MLT8010632","Leak Test FG","1","11.00","M03-Handling Damage","Leaktester Case 214","Zone 2",,,"$44.26","$44.26",
"3/17/2026","2:41 PM","9-176-022-423","TRANSFER CASES",,"MLT8010568","Leak Test FG","1","8.61","M18-Hole Size Out of Spec","LT-CD6 Transit Case 215","Dock-SH-C32",,,"$47.19","$47.19",
"3/17/2026","2:45 PM","9-072-022-421","TRANSFER CASES",,"MLT8010570","Cell Assembly FG","1","6.81","D25-Leaker","LT-CD6 Explorer Case 215","Trailer Dock B13",,,"$41.80","$41.80",
"3/17/2026","2:46 PM","9-073-022-492W","TRANSFER CASES",,"MLT8010680","Die Cast Part Shot","1","7.64","D01-Start-up Scrap","DCM A3 116","Trailer Dock C24",,,"$32.86","$32.86",
"3/17/2026","2:49 PM","9-176-022-424","TRANSFER CASES",,"MLT8010688","Leak Test FG","5","39.70","D25-Leaker","LT-CD6 Transit Cover 215","Trailer Dock B13",,,"$49.99","$249.96",
"3/17/2026","2:49 PM","9-176-022-424","TRANSFER CASES",,"MLT8010688","Leak Test FG","2","15.88","D34-Porosity","LT-CD6 Transit Cover 215","Trailer Dock B13",,,"$49.99","$99.98",
"3/17/2026","2:49 PM","9-034-016-498W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8010617","Die Cast Part Shot (FG)","4","43.96","D06-Trim Damage","DCM E2 120","JL CNC Cast WIP",,,"$48.04","$192.17",
"3/17/2026","2:49 PM","9-072-022-421","TRANSFER CASES",,"MLT8010590","Machining Pierce Part (1)","2","13.88","M06-Machine Alarm","CNC Makino19 215","CD6 Parts Conveyor",,,"$36.52","$73.04",
"3/17/2026","2:49 PM","9-034-016-498W","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8010617","Die Cast Part Shot (FG)","4","43.96","D04-Crack","DCM E2 120","JL CNC Cast WIP",,,"$48.04","$192.17",
"3/17/2026","2:54 PM","9-085-016-433IP","MAG - FULL INSTRUMENT PANELS &lt; 15 LBS",,"MLT8001473","Die Cast Part Shot","1","8.79","D08-Oversized Hole","MA Mazak 240","MA Mazak 240",,,"$33.52","$33.52","Cav.A"
"3/17/2026","2:58 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010721","Die Cast Part Shot","2","20.95","D06-Trim Damage","DCM A2 116","WIP Makino 8-9",,,"$37.01","$74.01","8"
"3/17/2026","2:58 PM","9-073-022-461W","TRANSFER CASES",,"MLT8010721","Die Cast Part Shot","6","62.85","D01-Start-up Scrap","DCM A2 116","WIP Makino 8-9",,,"$37.01","$222.03","8"
"3/17/2026","2:59 PM","9-034-010-425W","MAG - BRACKETS",,"MLT8010136","Die Cast Part Shot","12","1.79","D16-Biscuit Size","DCM C3 108","DCM C3 108",,,"$1.90","$22.83","LH"
"3/17/2026","2:59 PM","9-034-010-426W","MAG - BRACKETS",,"MLT8010137","Die Cast Part Shot","12","1.74","D16-Biscuit Size","DCM C3 108","DCM C3 108",,,"$1.89","$22.65","RH"
"3/17/2026","3:26 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010729","Die Cast Part Shot","10","39.74","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$168.92","cav 7"
"3/17/2026","3:26 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010729","Die Cast Part Shot","5","19.87","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$84.46","cav 7"
"3/17/2026","3:26 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010730","Die Cast Part Shot","5","19.87","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$84.46","cav 8"
"3/17/2026","3:27 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010729","Die Cast Part Shot","4","15.90","D01-Start-up Scrap","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$67.57","cav 7"
"3/17/2026","3:27 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010730","Die Cast Part Shot","4","15.90","D01-Start-up Scrap","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$67.57","cav 8"
"3/17/2026","3:29 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010743","Die Cast Part Shot","3","19.56","D01-Start-up Scrap","DCM A7 116","WIP Makino 1-2",,,"$22.14","$66.43","Cav 9"
"3/17/2026","3:29 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010744","Die Cast Part Shot","3","19.56","D01-Start-up Scrap","DCM A7 116","Plant B Storage",,,"$22.14","$66.43","Cav 10"
"3/17/2026","3:29 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010729","Die Cast Part Shot","1","3.97","D19-Broken Biscuit","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$16.89","cav 7"
"3/17/2026","3:30 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010745","Die Cast Part Shot","1","3.97","D19-Broken Biscuit","DCM A5 116","Trailer Dock C26",,,"$16.89","$16.89","cav 8"
"3/17/2026","3:30 PM","9-072-022-422W","TRANSFER CASES",,"MLT8010729","Die Cast Part Shot","1","3.97","D15-Sinks","DCM A5 116","CD6 Exp Cover Wip",,,"$16.89","$16.89","cav 7"
"3/17/2026","3:34 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010743","Die Cast Part Shot","1","6.52","D19-Broken Biscuit","DCM A7 116","WIP Makino 1-2",,,"$22.14","$22.14","Cav 9"
"3/17/2026","3:34 PM","9-073-022-463W","TRANSFER CASES",,"MLT8010744","Die Cast Part Shot","1","6.52","D19-Broken Biscuit","DCM A7 116","Plant B Storage",,,"$22.14","$22.14","Cav 10"
"3/17/2026","3:48 PM","9-084-016-371W","MAG - FULL INSTRUMENT PANELS > 15 LBS",,"MLT8010604","Die Cast Part Shot","1","13.38","D26-Stuck Casting","DCM W3 122","DCM W3 122",,,"$54.18","$54.18","FO approved"
